district,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
11,3.683673469,5.613333333,4.153846154,1.409090909,0.536585366,0.868131868,4.322580645,4.511363636,3.257731959,5.036585366,5.117647059,2.432989691,1.663043478,5.766233766,1.253521127,5.432098765,1.626666667,2.384615385,6.435483871,3.785714286,4.310810811
12,4.10989011,5.093333333,4.871428571,4.545454545,0.98,4.423076923,4.977011494,1.054347826,4.518987342,6,1.480769231,5.77027027,4.683673469,0.555555556,4.808219178,2.523809524,3.233766234,4.328571429,0.567164179,3.407894737,1.810126582
13,3.387755102,1.924242424,2.935897436,1.606060606,0.928571429,1.966101695,2.375,3.547368421,4.880952381,3.242857143,2.279411765,3.617283951,3.879518072,3.589285714,5.059701493,3.310810811,1.434782609,7,2.965909091,2.04494382,5.219512195
14,2.402597403,6.293333333,7.368421053,3.603174603,1.147727273,1.430555556,3.474747475,5.238095238,2.893939394,5.59375,1.283018868,5.16,2.268817204,3.916666667,4.780487805,6.82,3.094339623,3.105263158,0.8,1.705882353,3.12371134
15,4.780487805,4.916666667,0.406593407,2.449275362,2.782051282,7.220338983,0.516666667,2.19,4.535714286,5.696969697,3.121212121,1,4.306451613,0.136363636,0.931506849,6.23880597,6.880597015,5.539325843,8.62,3.535211268,5.19047619
16,4.725490196,1.989583333,1.348484848,2.175675676,0.6875,6.012345679,0.916666667,3.488636364,2.48,5.526315789,1.597826087,1.80952381,1.034482759,1.726027397,0.885057471,8.134615385,2.333333333,5.797468354,2.255813953,7.65,5.123076923
17,0.159090909,5.06097561,1.378378378,6.309090909,4.709677419,1.590909091,2.115789474,2.810126582,8.740740741,3.632183908,0.492063492,5.303030303,5.051282051,2.12345679,2.510416667,4.161290323,1.091954023,4.024096386,0.709677419,5.289473684,7.208955224
18,4.928571429,6.543859649,5.417910448,4.828571429,2.507042254,4.317647059,1.540540541,3.038461538,0.216494845,4.795180723,4.37,0,4.054945055,4.05,5.864197531,6.150684932,4.363636364,0.894736842,5.690909091,2.015384615,2.652631579
19,2.730769231,0.613636364,5.555555556,3.909090909,4.120879121,0.074074074,4.678571429,1.819444444,4.02739726,6.378787879,5.027027027,6.725490196,0.337837838,4.413333333,3.949367089,3.955555556,7.345454545,0.513157895,2.666666667,2.806451613,1.323943662
20,6.06097561,2.507246377,2.288135593,4.975609756,0.933333333,2.188888889,5.625,2.75308642,4.852941176,5.428571429,2.746031746,4.701149425,3.597560976,4.410958904,1.311827957,3.679012346,2.964705882,1.388888889,2.463917526,3.131147541,1.042105263
21,0.76344086,7.53968254,7.68852459,4.44,6.324675325,2.531914894,2.267605634,3.276923077,1.723404255,3.12345679,5.305882353,2.364583333,1.901234568,0.94,0.926315789,5.627906977,2.529411765,2.757142857,4.325,4.65625,2.916666667
22,0.814285714,0.240506329,1.61,5.206521739,2.431372549,2.573170732,1.290909091,2.6,2.845238095,6.018181818,1.561797753,4.573170732,0.942307692,3.5,2.607594937,1.012195122,2.032258065,2.29,3.861702128,5.952380952,1.692307692
23,6.309090909,0.948453608,4.709090909,3.608108108,8.032786885,2.521276596,4.130434783,1.048780488,5.518072289,2.18,3.636363636,0.81,7.048387097,0.578947368,1.725490196,4.242857143,5.666666667,2.453125,0.35,4.336734694,6.253731343
24,4.510204082,1.142857143,0,1.379746835,2.245901639,0.047619048,4.242424242,1.054347826,0.893333333,3.472222222,2.943396226,3.813953488,6.142857143,2.033898305,0.847826087,1.623655914,4.813333333,3.510416667,1.929411765,5.019230769,2.543478261
25,3.22826087,3.419753086,1.909090909,2.8,4.704225352,0.05,7.080645161,2.261904762,2.420289855,0.402173913,0.011904762,2.651162791,2.186046512,0.857142857,2.506329114,1.604395604,4.636363636,3.931818182,4.059701493,6.825396825,0.872340426
26,4.863013699,6.149253731,0.862068966,0.740740741,3.953846154,3.103092784,3.376623377,1.11827957,0.910447761,6,3.151898734,1.691489362,0.363636364,1.960784314,0.447916667,2.971428571,2.054794521,7.096774194,5.689655172,2.38028169,4.862068966
27,2.487179487,4.563636364,0.397959184,1.14,3.628205128,0.756410256,3.4,7.870967742,2.698795181,6.142857143,3.852459016,0.524590164,0.434782609,5.235294118,1.409090909,4.423728814,3.923913043,1.76,3.905263158,4.114754098,0.081395349
28,9.82,5.590909091,6.328358209,3.615384615,2.35483871,3.888888889,5.48,7.425925926,7.65,3.765432099,3.909090909,6.735849057,0.967032967,1.64,3.46,2.371428571,6.711864407,6.679245283,1.192771084,0.971830986,5.953125
29,3.897058824,5,4.81,5.133333333,8.24137931,1.134146341,2.684782609,4.241935484,2.139534884,0.260416667,7.942307692,1.233766234,0.914634146,4,7.369230769,6.785714286,6.780821918,2.274725275,4.113924051,7.515625,0.347826087
30,5.315789474,0.720930233,4.058823529,5.164556962,7.86440678,0.701492537,2.880597015,3.425925926,5.508474576,6.547169811,8.88,0.6,1.352941176,5.610169492,4.694736842,0.261538462,3.75,0.113636364,6.12987013,1.188679245,3.975609756
31,1.441558442,3.777777778,1.77173913,8.9,0.036363636,0.026666667,3.957446809,2.188405797,5.071428571,0.049180328,2.263736264,3.081081081,3.98989899,4.862068966,1.520833333,0.557142857,5.181818182,4.6375,2.487179487,1.8125,0.738461538
32,5.909090909,2.376811594,2.890625,4.655172414,3.177419355,0.454545455,2.451612903,4.875,2.043478261,0.860465116,5.826666667,2.1875,6.17721519,6.379310345,0.222222222,5.792207792,0.96875,2.315789474,3.275362319,4.894117647,2
33,1.364705882,0.018867925,6.411764706,3.423913043,0.596491228,2.333333333,1.301075269,0.690140845,4.136986301,0.544117647,0.244186047,2.817204301,3.425531915,1.142857143,0.607594937,7.5,1.621052632,4.127272727,3.746268657,0.836363636,0.703125
34,1.585106383,7.169811321,2.584615385,3.452830189,5.464285714,5.797619048,2.725490196,4.660714286,6.295774648,0.18,0.945054945,2.969387755,2.745454545,6.166666667,3.494949495,0.476923077,3.6,5,1.128571429,2.264367816,4.106382979
35,7.981481481,3.59,7.590163934,2.086206897,6.02,2.969230769,3.168831169,6.882352941,3.449275362,5.435294118,5.438356164,0.551724138,4.0875,6.018181818,0.627118644,2.396551724,1.438356164,3.376344086,2.260869565,2.404040404,3.436619718
36,1.810126582,0.913043478,0.838709677,1,4.9375,5.522727273,5.553846154,1.263888889,8.04,0.96875,8.446428571,2.557377049,2.304878049,6.183333333,6.098360656,4.961038961,3.246153846,3.752688172,0.727272727,2.173333333,3.425287356
37,5.447761194,1.451219512,0.2,1.166666667,0.617021277,6.58,6.106060606,3.961538462,1.86,4.888888889,0.576923077,2.189473684,2.041237113,0.161616162,1.316666667,6.095238095,2.316666667,0.148148148,5.257575758,7.106060606,2.640449438
